id_cliente;nombre;sexo;fecha_nacimiento;distrito;fecha_alta;segmento_programa
C00001;Albano Llopis Hierro;M;1968-02-20;Trujillo;2025-02-24;Oro
C00002;Armando Roca-Antón;M;1958-01-30;Comas;2022-08-08;Bronce
C00003;Marcial Amor-Flor;M;1993-10-05;Cusco;2024-12-23;Plata
C00004;Constanza Sanchez;F;1987-03-04;Cusco;2025-07-05;Bronce
C00005;Purificación Cuervo Rocamora;F;1974-03-23;Surco;2022-04-17;Plata
C00006;Aurelio Bru Pinto;M;1961-07-24;Chiclayo;2025-09-11;Bronce
C00007;Dulce Roxana Aroca Segovia;F;1984-05-31;San Isidro;2026-04-25;Bronce
C00008;Aníbal Marcos;M;1999-08-29;Callao;2024-07-27;Plata
C00009;Luis Fernandez Baños;M;1958-11-30;Arequipa;2022-08-25;Black
C00010;Aníbal Guerrero Cabrero;M;1976-04-18;Los Olivos;2023-10-04;Plata
C00011;Candelas Pellicer Padilla;F;1967-05-06;Los Olivos;2022-11-03;Bronce
C00012;María Fernanda Donoso Hierro;F;1965-01-10;Ate;2023-05-24;Plata
C00013;Damián Morata-Barba;M;1968-06-10;No Especificado;2021-09-07;Bronce
C00014;Gracia Leal Batalla;F;1967-07-03;Huancayo;2026-03-02;Bronce
C00015;Cloe Valera Priego;F;2002-07-13;Comas;2024-09-09;Bronce
C00016;Dulce Chaparro Huerta;F;1995-08-04;San Isidro;2024-03-06;Plata
C00017;Inés Viviana Pujol Paredes;F;1967-12-08;Surco;2026-06-08;Plata
C00018;Leire Bou-Arévalo;F;2001-04-22;Piura;2022-12-04;Oro
C00019;Ruy Roca Bartolomé;M;1976-07-15;Piura;2024-06-16;Bronce
C00020;Juan Luis del Alberdi;M;1991-11-26;Los Olivos;2022-02-02;Bronce
C00021;Pili Lasa-Nieto;F;1962-05-01;Piura;2023-01-09;Plata
C00022;Abel del Valle;M;1996-02-25;Miraflores;2024-01-10;Plata
C00023;Trinidad Martín Vera;M;1988-12-03;Callao;2022-04-12;Plata
C00024;Luz Abascal Morante;F;1981-12-08;Comas;2022-01-29;Bronce
C00025;Valentín Meléndez Heras;M;1959-07-18;Trujillo;2025-05-11;Plata
C00026;Aristides Torre Bayón;M;2007-05-20;Ate;2024-02-24;Plata
C00027;Bernardo Talavera Dalmau;M;1970-04-24;San Isidro;2025-10-26;Bronce
C00028;Cloe Font;F;1993-08-08;Callao;2023-06-28;Bronce
C00029;Isabel Villar Sanmiguel;F;1962-10-28;San Miguel;2022-08-19;Oro
C00030;Ainara Grau Giménez;F;1956-11-26;Comas;2025-03-01;Bronce
C00031;Crescencia Bauzà Angulo;F;2001-03-25;Chiclayo;2021-11-16;Plata
C00032;Emilio Torralba Gargallo;M;1984-07-27;San Miguel;2025-01-31;Plata
C00033;Luis Jordi Herrero Suárez;M;1998-08-07;Comas;2022-06-19;Plata
C00034;Mónica Rosa Pablo;F;1978-07-22;No Especificado;2023-10-29;Bronce
C00035;Nerea Cabello Barrera;F;1977-06-19;Cusco;2023-03-13;Bronce
C00036;Diana Feliu Falcón;F;1984-01-06;Arequipa;2022-03-20;Bronce
C00037;Eligia Sevillano Iborra;F;2002-01-01;Ate;2021-11-24;Bronce
C00038;Ariel Ayuso-Alcolea;F;2006-01-12;Arequipa;2026-01-31;Bronce
C00039;Celso Ramos Torralba;M;1981-07-23;Trujillo;2025-12-10;Bronce
C00040;Caridad Pinilla Abril;F;2007-06-10;Los Olivos;2022-10-31;Black
C00041;Eric del Torrecilla;M;1964-07-31;Ate;2022-12-27;Bronce
C00042;Luis Miguel Barrera Mir;M;1959-03-07;Arequipa;2024-05-26;Plata
C00043;Ángel Criado-Barberá;M;2006-06-28;Cusco;2021-12-02;Bronce
C00044;Anastasia Bayo Gutierrez;F;1977-07-11;Comas;2026-02-28;Oro
C00045;Delia Marina Ariño Bilbao;F;1978-04-30;Arequipa;2024-05-25;Bronce
C00046;Fausto Julián-Fuente;M;1991-05-10;La Molina;2023-01-27;Bronce
C00047;Hector Castro Marín;M;1980-04-21;Miraflores;2026-05-02;Plata
C00048;Adelia Sedano Cabo;F;1960-05-04;Cusco;2022-07-30;Plata
C00049;Blas Oller Bayona;M;2002-04-02;San Isidro;2023-07-05;Bronce
C00050;Isabel Mate Ángel;F;1956-12-08;Trujillo;2025-07-19;Bronce
C00051;Úrsula Calleja Cañizares;F;1970-04-13;Surco;2025-11-26;Bronce
C00052;Calixta Lladó-Luján;F;1987-12-24;San Miguel;2025-01-21;Plata
C00053;Noelia Laguna Vega;F;1981-07-12;San Miguel;2025-12-24;Plata
C00054;Araceli Roda Lloret;F;1958-10-28;Chiclayo;2023-03-03;Plata
C00055;Merche Juárez Cuéllar;F;1995-01-27;Surco;2024-03-29;Bronce
C00056;Lisandro Agustí;M;1962-05-07;Huancayo;2026-03-06;Bronce
C00057;Magdalena Araujo Peiró;F;1986-10-27;Arequipa;2022-04-04;Oro
C00058;Alfonso Mendez Pastor;M;2003-11-04;Ate;2025-06-11;Bronce
C00059;Ximena Pallarès Gallo;F;1991-12-30;Huancayo;2024-10-22;Plata
C00060;Reyna Ramos Cortes;F;2004-01-09;San Miguel;2022-09-10;Bronce
C00061;Salomón Elorza Revilla;M;1957-10-26;Miraflores;2025-02-24;Bronce
C00062;Rosendo Requena Hurtado;M;1970-05-28;Chiclayo;2025-05-26;Bronce
C00063;Graciano Arias Sosa;M;1968-02-05;San Isidro;2025-07-18;Plata
C00064;Gabino del Goñi;M;1968-02-14;San Miguel;2024-10-10;Plata
C00065;Eulalia Lopez;F;2001-06-22;Trujillo;2026-04-14;Bronce
C00066;Felicia Vergara Pulido;F;1991-11-12;Chiclayo;2025-09-05;Plata
C00067;Albina Carlos Julián;F;1965-10-25;San Miguel;2026-06-04;Plata
C00068;Alma Camps Rovira;F;1974-04-07;Piura;2025-05-25;Oro
C00069;María Dolores Vidal;F;1962-07-18;Trujillo;2025-12-14;Bronce
C00070;Edu Arregui Rubio;M;1956-08-14;Ate;2026-01-30;Bronce
C00071;Noelia Figueras-Pascual;F;1978-12-16;San Miguel;2026-03-13;Black
C00072;Mateo Mir Casanovas;M;1993-12-15;Comas;2023-01-02;Plata
C00073;Nazario Real Morera;M;1977-06-15;La Molina;2022-12-25;Bronce
C00074;Celia Rivero Pinilla;F;1991-01-10;Chiclayo;2025-12-20;Plata
C00075;Lucas Eutropio Ramis Abad;M;1972-05-01;Comas;2022-07-24;Bronce
C00076;Marcio Nacio Montserrat Sola;M;1979-07-03;Los Olivos;2024-07-11;Bronce
C00077;Jordi Doménech-Blazquez;M;1971-04-15;Huancayo;2024-10-16;Bronce
C00078;Florencio Arturo Gutierrez Menéndez;M;1968-03-18;La Molina;2022-07-04;Bronce
C00079;Amalia Hierro Talavera;F;1988-04-25;Los Olivos;2025-04-22;Oro
C00080;Herminia de Plana;F;1982-03-28;Callao;2022-09-23;Bronce
C00081;Victoriano Campillo Rodríguez;M;1967-11-29;San Miguel;2025-06-25;Bronce
C00082;Jordana Ayllón-Ibañez;F;2004-03-27;Huancayo;2022-02-15;Bronce
C00083;Rosario Sobrino Molins;F;2005-12-06;No Especificado;2025-11-29;Plata
C00084;Sabina Pacífica Vargas Roldan;F;1999-09-20;San Isidro;2024-03-22;Bronce
C00085;Ramiro Taboada Sandoval;M;1970-01-03;Cusco;2022-09-29;Bronce
C00086;Rodolfo Vázquez Tormo;M;1989-02-13;Callao;2022-11-17;Plata
C00087;Pepe Macias Guitart;M;1970-08-29;Piura;2023-06-02;Bronce
C00088;Apolinar Chacón-Contreras;M;1968-07-22;San Isidro;2024-12-10;Bronce
C00089;Ana Belén Ribera Ramón;F;1973-09-26;San Isidro;2023-10-27;Plata
C00090;Cristian Rivera Porras;M;2003-07-31;Ate;2024-05-26;Bronce
C00091;Tiburcio Pintor Tapia;M;1956-11-02;Ate;2023-05-04;Plata
C00092;Teodosio Rius;M;1984-07-07;Miraflores;2025-02-21;Bronce
C00093;Viviana Constanza Torrents Gimenez;F;1970-09-21;Cusco;2023-01-12;Black
C00094;Florentino Quiroga;M;1994-09-03;Comas;2025-08-30;Oro
C00095;María Amores Prada;M;1987-04-23;Comas;2024-10-15;Plata
C00096;Milagros Romero Cerdá;F;2001-08-09;Ate;2022-03-06;Bronce
C00097;Goyo Morán Galán;M;1980-04-03;La Molina;2023-03-10;Bronce
C00098;Emilio Robles;M;1969-08-25;Cusco;2021-12-06;Plata
C00099;Reinaldo Azorin Olmo;M;1968-10-03;Cusco;2021-11-12;Bronce
C00100;Priscila Anguita Huertas;F;1966-11-24;Trujillo;2021-08-17;Bronce
C00101;Dimas Cases Sáenz;M;1991-05-05;Huancayo;2024-04-20;Bronce
C00102;Josefa Jaén Peinado;F;1965-04-03;Chiclayo;2024-07-07;Bronce
C00103;Roque Céspedes Merino;M;1962-02-25;No Especificado;2021-08-27;Bronce
C00104;Maricela Perez Puente;F;2005-06-26;Piura;2022-07-03;Plata
C00105;Nuria Selena Herrero Cal;F;1992-10-13;Surco;2023-04-01;Bronce
C00106;Rosenda Azeneth Armengol Olivera;F;1984-03-25;Piura;2024-12-10;Oro
C00107;Lilia Nogueira Alberola;F;2000-09-15;Surco;2025-07-28;Bronce
C00108;Iris Paredes Segura;F;1993-04-23;San Miguel;2023-09-02;Bronce
C00109;Modesta León-Tomás;F;1980-09-13;Surco;2025-08-03;Bronce
C00110;Eloy Felix Higueras Bolaños;M;1971-01-13;Surco;2023-09-30;Plata
C00111;Mariana del Navarrete;F;1958-01-09;Piura;2025-09-18;Bronce
C00112;Jose Francisco Garay Pacheco;M;1998-01-06;San Miguel;2023-03-15;Oro
C00113;Odalys Vanesa Llorente Agustín;F;1983-05-24;Ate;2022-06-20;Bronce
C00114;Pacífica Ramos Torres;F;1985-05-25;Surco;2022-09-16;Plata
C00115;Mireia del Samper;F;1997-05-10;San Miguel;2021-12-26;Bronce
C00116;Graciela Hervia Medina;F;1991-01-20;Miraflores;2023-05-06;Bronce
C00117;Juan Manuel Núñez-Roig;M;2008-05-09;San Isidro;2024-03-27;Oro
C00118;Odalys Santiago Lillo;F;1972-06-22;Miraflores;2022-08-30;Oro
C00119;Fausto Carreras Esteve;M;1966-06-28;No Especificado;2025-02-28;Plata
C00120;Porfirio Zamorano Luna;M;2007-07-07;Huancayo;2025-08-16;Plata
C00121;Danilo Paniagua Escobar;M;1972-03-31;Cusco;2025-04-01;Plata
C00122;Eli Arroyo Ballester;F;1985-04-21;Surco;2024-12-16;Oro
C00123;Merche Tudela Calderon;F;2001-11-28;Cusco;2024-05-08;Plata
C00124;Julia del Niño;F;1966-02-12;Los Olivos;2021-10-12;Bronce
C00125;Aurora de Pérez;F;1982-02-06;Surco;2024-05-13;Bronce
C00126;Bárbara Company Mateu;F;1960-12-16;Comas;2022-09-30;Bronce
C00127;Ramona Rico-Gonzalez;F;1996-11-11;Comas;2023-05-26;Plata
