id_cliente;nombre;sexo;fecha_nacimiento;distrito;fecha_alta;segmento_programa
C00001;Albano Llopis Hierro;M;12/02/1968;Trujillo;2025-02-16;Oro
C00002;Armando Roca-Antón;M;22 de January de 1958;Comas;2022-07-31;Bronce
C00003;Marcial Amor-Flor;M;1993-09-27;Cusco;15 de December de 2024;Plata
C00004;Constanza Sanchez;F;1987-02-24;Cusco;27/06/2025;Bronce
C00005;Purificación Cuervo Rocamora;F;15/03/1974;Surco;09/04/2022;Plata
C00006;Aurelio Bru Pinto;M;1961-07-16;Chiclayo;2025-09-03;Bronce
C00007;Dulce Roxana Aroca Segovia;F;23/05/1984;San Isidro;17/04/2026;Bronce
C00008;Aníbal Marcos;M;21/08/1999;Callao;19/07/2024;Plata
C00009;Luis Fernandez Baños;M;22/11/1958;Arequipa;17/08/2022;Black
C00010;Aníbal Guerrero Cabrero;M;10 de April de 1976;Los Olivos;2023-09-26;Plata
C00011;Candelas Pellicer Padilla;F;1967-05-28;Los Olivos;2022-10-26;Bronce
C00012;María Fernanda Donoso Hierro;F;02/01/1965;Ate;16 de May de 2023;Plata
C00013;Damián Morata-Barba;M;1968-06-02;Los Olivos;2021-08-30;Bronce
C00014;Gracia Leal Batalla;F;1967-06-25;Huancayo;22/02/2026;Bronce
C00015;Cloe Valera Priego;F;05/07/2002;Comas;01 de September de 2024;Bronce
C00016;Dulce Chaparro Huerta;F;1995-03-31;San Isidro;2024-02-27;Plata
C00017;Inés Viviana Pujol Paredes;F;1967-11-30;Surco;2026-05-31;Plata
C00018;Leire Bou-Arévalo;F;14/04/2001;Piura;2022-04-04;Oro
C00019;Ruy Roca Bartolomé;M;07/07/1976;Piura;08/06/2024;Bronce
C00020;Juan Luis del Alberdi;M;18/11/1991;Los Olivos;2022-01-25;Bronce
C00021;Pili Lasa-Nieto;F;23/04/1962;Piura;2023-08-24;Plata
C00022;Abel del Valle;M;1996-02-17;Miraflores;2024-01-02;Plata
C00023;Trinidad Martín Vera;M;1988-03-04;Callao;04/04/2022;Plata
C00024;Luz Abascal Morante;F;1981-11-30;Comas;2022-01-21;Bronce
C00025;Valentín Meléndez Heras;M;10/07/1959;Trujillo;2025-10-28;Plata
C00026;Aristides Torre Bayón;M;2007-05-12;Ate;16/02/2024;Plata
C00027;Bernardo Talavera Dalmau;M;1970-04-16;San Isidro;18 de October de 2025;Bronce
C00028;Cloe Font;F;31/07/1993;Callao;20/06/2023;Bronce
C00029;Isabel Villar Sanmiguel;F;20 de October de 1962;San Miguel;11/08/2022;Oro
C00030;Ainara Grau Giménez;F;18/11/1956;Comas;2024-12-26;Bronce
C00031;Crescencia Bauzà Angulo;F;2001-03-17;Chiclayo;08/11/2021;Plata
C00032;Emilio Torralba Gargallo;M;1984-07-19;San Miguel;23/01/2025;Plata
C00033;Luis Jordi Herrero Suárez;M;1998-06-30;Comas;11/06/2022;Plata
C00034;Mónica Rosa Pablo;F;1978-07-14;Comas;2023-10-21;Bronce
C00035;Nerea Cabello Barrera;F;11/06/1977;Cusco;2023-03-05;Bronce
C00036;Diana Feliu Falcón;F;24/05/1984;Arequipa;2022-03-12;Bronce
C00037;Eligia Sevillano Iborra;F;2001-12-24;Ate;16 de November de 2021;Bronce
C00038;Ariel Ayuso-Alcolea;F;23/11/2006;Arequipa;23/01/2026;Bronce
C00039;Celso Ramos Torralba;M;15 de July de 1981;Trujillo;04/10/2025;Bronce
C00040;Caridad Pinilla Abril;F;28/09/2007;Los Olivos;23/10/2022;Black
C00041;Eric del Torrecilla;M;23/07/1964;Ate;19/12/2022;Bronce
C00042;Luis Miguel Barrera Mir;M;25/06/1959;Arequipa;2024-05-18;Plata
C00043;Ángel Criado-Barberá;M;2006-06-20;Cusco;24/11/2021;Bronce
C00044;Anastasia Bayo Gutierrez;F;1977-07-03;Comas;2026-02-20;Oro
C00045;Delia Marina Ariño Bilbao;F;1978-04-22;Arequipa;17/05/2024;Bronce
C00046;Fausto Julián-Fuente;M;1991-05-02;La Molina;19/01/2023;Bronce
C00047;Hector Castro Marín;M;13/04/1980;Miraflores;28/01/2026;Plata
C00048;Adelia Sedano Cabo;F;26/04/1960;Cusco;2022-07-22;Plata
C00049;Blas Oller Bayona;M;25/03/2002;San Isidro;29/04/2023;Bronce
C00050;Isabel Mate Ángel;F;1956-11-30;Trujillo;2025-07-11;Bronce
C00051;Úrsula Calleja Cañizares;F;1970-04-05;Surco;18 de November de 2025;Bronce
C00052;Calixta Lladó-Luján;F;16/12/1987;San Miguel;13/01/2025;Plata
C00053;Noelia Laguna Vega;F;29/11/1981;San Miguel;2025-12-16;Plata
C00054;Araceli Roda Lloret;F;1958-10-20;Chiclayo;23/02/2023;Plata
C00055;Merche Juárez Cuéllar;F;19 de January de 1995;Surco;21/03/2024;Bronce
C00056;Lisandro Agustí;M;29/04/1962;Huancayo;26 de February de 2026;Bronce
C00057;Magdalena Araujo Peiró;F;19/10/1986;Arequipa;2022-03-27;Oro
C00058;Alfonso Mendez Pastor;M;03 de April de 2003;Ate;03/06/2025;Bronce
C00059;Ximena Pallarès Gallo;F;22/12/1991;Huancayo;2024-10-14;Plata
C00060;Reyna Ramos Cortes;F;2004-08-24;San Miguel;02/09/2022;Bronce
C00061;Salomón Elorza Revilla;M;1957-10-18;Miraflores;16/02/2025;Bronce
C00062;Rosendo Requena Hurtado;M;20/05/1970;Chiclayo;18/05/2025;Bronce
C00063;Graciano Arias Sosa;M;28/01/1968;San Isidro;2025-07-10;Plata
C00064;Gabino del Goñi;M;06/02/1968;San Miguel;2024-10-02;Plata
C00065;Eulalia Lopez;F;2001-06-14;Trujillo;2026-04-06;Bronce
C00066;Felicia Vergara Pulido;F;04 de November de 1991;Chiclayo;28 de August de 2025;Plata
C00067;Albina Carlos Julián;F;1965-10-17;San Miguel;29/03/2026;Plata
C00068;Alma Camps Rovira;F;26 de June de 1974;Piura;17/05/2025;Oro
C00069;María Dolores Vidal;F;10/07/1962;Trujillo;2025-12-06;Bronce
C00070;Edu Arregui Rubio;M;06/08/1956;Ate;2026-01-22;Bronce
C00071;Noelia Figueras-Pascual;F;08 de December de 1978;San Miguel;2026-03-05;Black
C00072;Mateo Mir Casanovas;M;07/12/1993;Comas;25/12/2022;Plata
C00073;Nazario Real Morera;M;07/06/1977;La Molina;2022-12-17;Bronce
C00074;Celia Rivero Pinilla;F;23/09/1991;Chiclayo;12/12/2025;Plata
C00075;Lucas Eutropio Ramis Abad;M;1972-04-23;Comas;16/07/2022;Bronce
C00076;Marcio Nacio Montserrat Sola;M;1979-06-25;Los Olivos;30/10/2024;Bronce
C00077;Jordi Doménech-Blazquez;M;07/04/1971;Huancayo;2024-10-08;Bronce
C00078;Florencio Arturo Gutierrez Menéndez;M;10/03/1968;La Molina;2022-06-26;Bronce
C00079;Amalia Hierro Talavera;F;17/04/1988;Los Olivos;2025-04-14;Oro
C00080;Herminia de Plana;F;20/03/1982;Callao;15/09/2022;Bronce
C00081;Victoriano Campillo Rodríguez;M;1967-11-21;San Miguel;2025-06-17;Bronce
